nombre,latitud,longitud,Prediccion
Parque Industrial Toluca 2000,19.385794,-99.571092,Despejado
Parque Industrial Trebol,19.721556,-99.203739,Despejado
Parque Industrial Tres Ríos,19.695456,-99.204587,Despejado
Parque Industrial Tultitlán,19.655953,-99.152589,Considerablemente nublado
Parque Industrial Vesta Park Toluca 1,19.374827,-99.581554,Despejado
Parque Industrial Vesta Park Toluca 2,19.383018,-99.563264,Despejado
Parque Industrial Xalpa De Villa Hormes,19.812035,-99.190603,Despejado
Parque Industrial Xolache,19.527515,-98.89429558,Considerablemente nublado
"Parque Industrial Ziporex Ii, Lerma",19.310843,-99.558341,Despejado
"Parque Industrial Ziporex Iii, Toluca",19.30226,-99.551861,Despejado
Parque Logístico El Peral,19.708046,-99.191628,Despejado
Parque Microindustrial Cuautitlán Izcalli,19.689517,-99.200281,Despejado
Pit Parque Industrial Texcoco,19.53078,-98.9000539,Considerablemente nublado
Polaris,19.308066,-99.557133,Despejado
Premium Park Lerma,19.294754,-99.55524,Despejado
Premium Park Tultepec Ii,19.650681,-99.146786,Considerablemente nublado
Premium Park Tultepeci,19.648428,-99.149006,Considerablemente nublado
Prologis Agave Logistic Center,19.605677,-99.212183,Despejado
Prologis Encino Logistic Center,19.604939,-99.211979,Despejado
Prologis Fresno,19.620452,-99.167767,Considerablemente nublado
Prologis Izcalli,19.709558,-99.193585,Despejado
Prologis Laurel,19.681845,-99.182624,Despejado
Prologis Mezquite Logistic Center,19.613446,-99.229208,Despejado
Prologis Park Alamos,19.624415,-99.18072,Considerablemente nublado
Prologis Park Grande,19.732274,-99.216712,Despejado
Prologis Park Izcalli Iv,19.714185,-99.194221,Despejado
Prologis Park Jlp,19.620412,-99.167778,Considerablemente nublado
Prologis Park Toluca,19.297611,-99.546366,Despejado
Prologis Park Toluca Ii,19.369675,-99.565844,Despejado
Prologis Terminal Intermodal Ladero,19.680502,-99.190768,Despejado
Proximity Parks Naucalpan,19.480026,-99.223283,Considerablemente nublado
Puente México I,19.700753,-99.229399,Despejado
Puente México Ii,19.70023,-99.224906,Despejado
Puente México Iii,19.70023,-99.224906,Despejado
Sb Parque Industrial,19.704525,-99.190543,Despejado
Tepotzotlan Park,19.709968,-99.206915,Despejado
Tepozopark,19.731672,-99.204136,Despejado
Tepozpark I,19.739823,-99.226275,Despejado
Tepozpark Ii,19.73624,-99.225065,Despejado
Tepozpark Iii,19.737482,-99.223349,Despejado
Tepozpark Iv,19.73176,-99.21291,Despejado
Tepozpark V,19.732715,-99.209645,Despejado
Tlalne Park,19.578526,-99.209945,Considerablemente nublado
Tlanepark,19.553207,-99.178332,Considerablemente nublado
Tlanepark Ii,19.58927,-99.211281,Despejado
Tlanepark Iii,19.520011,-99.119531,Considerablemente nublado
Tlanepark Iv,19.587049,-99.198159,Despejado
Toluca Park,19.292374,-99.535416,Despejado
Tolucapark Doña Rosa,19.290465,-99.544244,Despejado
Tule Industrial Park,19.651152,-99.150105,Considerablemente nublado
Tule Industrial Park Ii,19.649927,-99.150748,Considerablemente nublado
Tule Industrial Park Iii,19.647519,-99.145123,Considerablemente nublado
Tultepark,19.654705,-99.148409,Considerablemente nublado
Tultipark 7,19.634282,-99.153412,Considerablemente nublado
Tultipark 8,19.632738,-99.153272,Considerablemente nublado
Tultipark 9,19.621236,-99.154308,Considerablemente nublado
Tultipark Ii (La Purísima),19.634067,-99.152229,Considerablemente nublado
Tultipark Iii,19.63961,-99.145479,Considerablemente nublado
Tultipark Iv,19.64289,-99.14474,Considerablemente nublado
Tultiparki,19.618461,-99.185608,Despejado
Tultitlán Ii,19.595918,-99.182465,Considerablemente nublado
World Park Cuautitlán,19.704191,-99.190854,Despejado
World Park Lerma,19.28853,-99.529115,Despejado
World Park Tlalnepantla,19.5374052,-99.1938772,Considerablemente nublado
World Park Tlalnepantla I,19.582512,-99.194876,Considerablemente nublado
World Park Tlalnepantla Ii,19.535399,-99.211123,Considerablemente nublado
World Park Tultepec,19.679317,-99.144287,Considerablemente nublado
World Park Tultitlan I,19.655831,-99.16327,Considerablemente nublado
World Park Tultitlan Ii,19.645908,-99.136748,Considerablemente nublado
Xhala Park,19.688962,-99.180503,Despejado
Zona Industrial Cerro Gordo,19.549761,-99.05249,Considerablemente nublado
Zona Industrial Chalco,19.251617,-98.886954,Considerablemente nublado
Zona Industrial Corredor Lechería Cuautitlan,19.622746,-99.1836,Considerablemente nublado
Zona Industrial Corredor López Portillo Tultitlan,19.6197,-99.181241,Despejado
Zona Industrial Guadalupe Victoria,19.622736,-99.067706,Considerablemente nublado
Zona Industrial Independencia,19.619085,-99.173872,Considerablemente nublado
Zona Industrial Jajalpa,19.588666,-99.034321,Considerablemente nublado
Zona Industrial Ocoyoacac,19.273272,-99.482766,Considerablemente nublado
Zona Industrial Ocoyoacac (Alto Lerma),19.273021,-99.483262,Considerablemente nublado
Zona Industrial Prof. Cristobal Higuera Y/ Atizapán Centro,19.56788717556672,-99.26117917653865,Despejado
Zona Industrial Puente De Vigas,19.514505,-99.216248,Considerablemente nublado
Zona Industrial Recursos Hidráulicos,19.622456,-99.177488,Considerablemente nublado
Zona Industrial Santa Clara Coatitla,19.533551,-99.069131,Considerablemente nublado
Zona Industrial Tecamac Zona Norte,19.775,-98.975,Considerablemente nublado
Zona Industrial Urbana Y/O Cuauhtémoc Xalostoc,19.516154,-99.0830309,Considerablemente nublado
Zona Industrial Valle De Chalco Solidaridad,19.30751,-98.963647,Considerablemente nublado
